10 aout 2022 16 :53 :37,source state ,Ack State,Source,Alarm Class,Priority,Last Update,Message Text
10 aout 2022 16 :53 :37,source state ,Ack State,Source,Alarm Class,Priority,Last Update,Message Text
11 janvier 2022 16 :53 :37,source state ,Ack State,Source,Alarm Class,Priority,Last Update,Message Text
10 janvier 2022 16 :53 :37,source state ,Ack State,Source,Alarm Class,Priority,Last Update,Message Text
12 fevrier 2022 16 :53 :37,source state ,Ack State,Source,Alarm Class,Priority,Last Update,Message Text
10 aout 2022 16 :53 :37,source state ,Ack State,Source,Alarm Class,Priority,Last Update,Message Text
13 mars 2022 16 :53 :37,source state ,Ack State,Source,Alarm Class,Priority,Last Update,Message Text
14 aout 2022 16 :53 :37,source state ,Ack State,Source,Alarm Class,Priority,Last Update,Message Text
10 avril 2022 16 :53 :37,source state ,Ack State,Source,Alarm Class,Priority,Last Update,Message Text
15 aout 2022 16 :53 :37,source state ,Ack State,Source,Alarm Class,Priority,Last Update,Message Text

